CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 6 	 49175.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 6 	 46285.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 6 	 47073.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 6 	 46946.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 6 	 49934.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 6 	 46886.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 7 	 53980.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 6 	 45240.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 10 	 73039.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 7 	 53435.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 6 	 50201.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 6 	 48275.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 6 	 49935.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 6 	 47852.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 6 	 50413.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 6 	 46358.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 7 	 53409.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 7 	 53811.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 10 	 79011.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 7 	 56335.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.968774 	 7 	 56078.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 6 	 49219.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970311 	 8 	 53493.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 6 	 47495.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 6 	 51809.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 6 	 47611.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 9 	 63292.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 50 	 0.948609 	 8 	 55215.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.963864 	 6 	 51772.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.950843 	 6 	 48170.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967217 	 11 	 79902.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.931580 	 7 	 53336.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 50 	 0.850089 	 6 	 45530.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 50 	 0.945288 	 7 	 55333.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 8 	 63538.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 49 	 0.943730 	 8 	 56854.000000
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.959766 	 13 	 81833.000000
instancesConflicts/BPPC_1_3_8.txt 	 49 	 55 	 0.831305 	 6 	 51668.000000
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957363 	 10 	 78477.000000
instancesConflicts/BPPC_1_3_10.txt 	 46 	 48 	 0.918483 	 11 	 76348.000000
instancesConflicts/BPPC_1_4_1.txt 	 48 	 52 	 0.845170 	 6 	 55422.000000
instancesConflicts/BPPC_1_4_2.txt 	 49 	 58 	 0.836902 	 6 	 59752.000000
instancesConflicts/BPPC_1_4_3.txt 	 46 	 57 	 0.787227 	 7 	 67851.000000
instancesConflicts/BPPC_1_4_4.txt 	 49 	 53 	 0.874253 	 6 	 51281.000000
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.933375 	 12 	 91693.000000
instancesConflicts/BPPC_1_4_6.txt 	 48 	 55 	 0.854031 	 9 	 79425.000000
instancesConflicts/BPPC_1_4_7.txt 	 48 	 57 	 0.832041 	 10 	 85426.000000
instancesConflicts/BPPC_1_4_8.txt 	 49 	 63 	 0.781078 	 8 	 78331.000000
instancesConflicts/BPPC_1_4_9.txt 	 50 	 58 	 0.815370 	 6 	 59798.000000
instancesConflicts/BPPC_1_4_10.txt 	 46 	 58 	 0.804396 	 7 	 69072.000000
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.776297 	 6 	 72297.000000
instancesConflicts/BPPC_1_5_2.txt 	 49 	 69 	 0.791963 	 6 	 77146.000000
instancesConflicts/BPPC_1_5_3.txt 	 46 	 68 	 0.787376 	 6 	 81148.000000
instancesConflicts/BPPC_1_5_4.txt 	 49 	 61 	 0.883424 	 10 	 105774.000000
instancesConflicts/BPPC_1_5_5.txt 	 50 	 61 	 0.834381 	 6 	 68983.000000
instancesConflicts/BPPC_1_5_6.txt 	 48 	 66 	 0.822787 	 9 	 105121.000000
instancesConflicts/BPPC_1_5_7.txt 	 48 	 66 	 0.830755 	 12 	 124869.000000
instancesConflicts/BPPC_1_5_8.txt 	 49 	 72 	 0.828587 	 8 	 101076.000000
instancesConflicts/BPPC_1_5_9.txt 	 50 	 67 	 0.860916 	 7 	 86142.000000
instancesConflicts/BPPC_1_5_10.txt 	 46 	 67 	 0.804760 	 6 	 78377.000000
instancesConflicts/BPPC_1_6_1.txt 	 48 	 77 	 0.840874 	 6 	 97923.000000
instancesConflicts/BPPC_1_6_2.txt 	 49 	 81 	 0.885658 	 6 	 101299.000000
instancesConflicts/BPPC_1_6_3.txt 	 46 	 77 	 0.934175 	 7 	 114618.000000
instancesConflicts/BPPC_1_6_4.txt 	 49 	 73 	 0.895546 	 6 	 89176.000000
instancesConflicts/BPPC_1_6_5.txt 	 50 	 74 	 0.854855 	 6 	 91290.000000
instancesConflicts/BPPC_1_6_6.txt 	 48 	 80 	 0.821060 	 6 	 98759.000000
instancesConflicts/BPPC_1_6_7.txt 	 48 	 76 	 0.881942 	 6 	 94346.000000
instancesConflicts/BPPC_1_6_8.txt 	 49 	 82 	 0.901280 	 6 	 100681.000000
instancesConflicts/BPPC_1_6_9.txt 	 50 	 81 	 0.901850 	 6 	 99677.000000
instancesConflicts/BPPC_1_6_10.txt 	 46 	 76 	 0.875939 	 6 	 97038.000000
instancesConflicts/BPPC_1_7_1.txt 	 48 	 88 	 0.924362 	 8 	 142727.000000
