CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_6_3.txt 	 46 	 78 	 0.541848 	 6 	 141317.000000
instancesConflicts/BPPC_1_6_4.txt 	 49 	 73 	 0.554075 	 6 	 131615.000000
instancesConflicts/BPPC_1_6_5.txt 	 50 	 74 	 0.541286 	 6 	 135665.000000
instancesConflicts/BPPC_1_6_6.txt 	 48 	 80 	 0.550254 	 6 	 142602.000000
instancesConflicts/BPPC_1_6_7.txt 	 48 	 76 	 0.509625 	 6 	 136804.000000
instancesConflicts/BPPC_1_6_8.txt 	 49 	 83 	 0.470942 	 6 	 144434.000000
instancesConflicts/BPPC_1_6_9.txt 	 50 	 81 	 0.553334 	 6 	 143204.000000
instancesConflicts/BPPC_1_6_10.txt 	 46 	 77 	 0.482516 	 6 	 141931.000000
instancesConflicts/BPPC_1_7_1.txt 	 48 	 89 	 0.455858 	 6 	 161825.000000
instancesConflicts/BPPC_1_7_2.txt 	 49 	 92 	 0.499200 	 6 	 162346.000000
instancesConflicts/BPPC_1_7_3.txt 	 46 	 88 	 0.445169 	 6 	 164423.000000
instancesConflicts/BPPC_1_7_4.txt 	 49 	 85 	 0.566186 	 6 	 156561.000000
instancesConflicts/BPPC_1_7_5.txt 	 50 	 87 	 0.506428 	 6 	 157661.000000
instancesConflicts/BPPC_1_7_6.txt 	 48 	 92 	 0.481165 	 6 	 162997.000000
instancesConflicts/BPPC_1_7_7.txt 	 48 	 87 	 0.483876 	 6 	 159144.000000
instancesConflicts/BPPC_1_7_8.txt 	 49 	 90 	 0.499103 	 6 	 166451.000000
instancesConflicts/BPPC_1_7_9.txt 	 50 	 93 	 0.476381 	 6 	 163619.000000
instancesConflicts/BPPC_1_7_10.txt 	 46 	 87 	 0.472086 	 6 	 159097.000000
instancesConflicts/BPPC_1_8_1.txt 	 48 	 99 	 0.481021 	 6 	 181542.000000
instancesConflicts/BPPC_1_8_2.txt 	 49 	 99 	 0.439413 	 6 	 174600.000000
instancesConflicts/BPPC_1_8_3.txt 	 46 	 100 	 0.508805 	 6 	 182414.000000
instancesConflicts/BPPC_1_8_4.txt 	 49 	 95 	 0.515610 	 6 	 166337.000000
instancesConflicts/BPPC_1_8_5.txt 	 50 	 100 	 0.500142 	 6 	 173608.000000
instancesConflicts/BPPC_1_8_6.txt 	 48 	 101 	 0.549305 	 6 	 175223.000000
instancesConflicts/BPPC_1_8_7.txt 	 48 	 96 	 0.494927 	 6 	 169925.000000
instancesConflicts/BPPC_1_8_8.txt 	 49 	 99 	 0.517629 	 6 	 176452.000000
instancesConflicts/BPPC_1_8_9.txt 	 50 	 105 	 0.501074 	 6 	 176299.000000
instancesConflicts/BPPC_1_8_10.txt 	 46 	 98 	 0.526239 	 6 	 172006.000000
instancesConflicts/BPPC_1_9_1.txt 	 48 	 110 	 0.516330 	 6 	 182436.000000
instancesConflicts/BPPC_1_9_2.txt 	 49 	 107 	 0.465037 	 6 	 181388.000000
instancesConflicts/BPPC_1_9_3.txt 	 46 	 114 	 0.475566 	 6 	 190386.000000
instancesConflicts/BPPC_1_9_4.txt 	 49 	 110 	 0.482314 	 6 	 184686.000000
instancesConflicts/BPPC_1_9_5.txt 	 50 	 111 	 0.552940 	 6 	 187411.000000
instancesConflicts/BPPC_1_9_6.txt 	 48 	 110 	 0.481706 	 6 	 183964.000000
instancesConflicts/BPPC_1_9_7.txt 	 48 	 107 	 0.479101 	 6 	 181952.000000
