CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 11 	 75.670998 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 11 	 70.233002 	 50 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 11 	 70.693001 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 11 	 76.129997 	 51 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 11 	 79.533997 	 51 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 11 	 74.661003 	 49 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 12 	 80.866997 	 50 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 11 	 71.495003 	 51 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 15 	 99.905998 	 52 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 12 	 85.633003 	 48 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 11 	 82.684998 	 50 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 11 	 76.789001 	 50 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 11 	 84.214996 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 11 	 81.026001 	 51 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 11 	 82.960999 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 11 	 77.665001 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 12 	 87.667000 	 50 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 12 	 83.228996 	 51 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 15 	 112.760002 	 52 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 12 	 92.128998 	 48 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.968774 	 12 	 89.013000 	 50 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 11 	 80.124001 	 50 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970311 	 13 	 79.313004 	 47 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 11 	 76.623001 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 11 	 80.202003 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 11 	 74.420998 	 49 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 14 	 90.609001 	 50 	 0
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985563 	 20 	 121.862000 	 51 	 0
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994167 	 19 	 138.587997 	 52 	 0
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991420 	 20 	 127.688004 	 48 	 0
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967217 	 16 	 108.830002 	 50 	 0
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.931580 	 12 	 84.597000 	 51 	 0
instancesConflicts/BPPC_1_3_3.txt 	 46 	 48 	 0.919177 	 23 	 142.595993 	 50 	 0
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982740 	 20 	 124.776001 	 51 	 0
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 13 	 99.569000 	 51 	 0
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.978987 	 23 	 144.893005 	 50 	 0
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.959766 	 18 	 115.225998 	 51 	 0
instancesConflicts/BPPC_1_3_8.txt 	 49 	 52 	 0.907844 	 26 	 172.330994 	 56 	 0
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957363 	 15 	 111.023003 	 53 	 0
instancesConflicts/BPPC_1_3_10.txt 	 46 	 47 	 0.951994 	 24 	 155.858002 	 49 	 0
instancesConflicts/BPPC_1_4_1.txt 	 48 	 52 	 0.845170 	 11 	 94.542999 	 52 	 0
instancesConflicts/BPPC_1_4_2.txt 	 49 	 57 	 0.861221 	 15 	 127.864998 	 58 	 0
instancesConflicts/BPPC_1_4_3.txt 	 46 	 57 	 0.787227 	 12 	 105.599998 	 58 	 0
instancesConflicts/BPPC_1_4_4.txt 	 49 	 52 	 0.899102 	 19 	 134.727005 	 53 	 0
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.933375 	 17 	 121.097000 	 53 	 0
instancesConflicts/BPPC_1_4_6.txt 	 48 	 56 	 0.834894 	 11 	 93.438004 	 56 	 0
instancesConflicts/BPPC_1_4_7.txt 	 48 	 57 	 0.832041 	 15 	 123.658997 	 58 	 0
instancesConflicts/BPPC_1_4_8.txt 	 49 	 63 	 0.809235 	 20 	 167.630005 	 64 	 0
instancesConflicts/BPPC_1_4_9.txt 	 50 	 58 	 0.815370 	 11 	 95.905998 	 58 	 0
instancesConflicts/BPPC_1_4_10.txt 	 46 	 56 	 0.844538 	 30 	 212.186005 	 59 	 0
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.779338 	 11 	 115.716003 	 65 	 1
instancesConflicts/BPPC_1_5_2.txt 	 49 	 68 	 0.826886 	 12 	 128.371994 	 69 	 0
instancesConflicts/BPPC_1_5_3.txt 	 46 	 68 	 0.788989 	 11 	 123.542000 	 68 	 6
instancesConflicts/BPPC_1_5_4.txt 	 49 	 62 	 0.867418 	 12 	 113.507004 	 63 	 1
instancesConflicts/BPPC_1_5_5.txt 	 50 	 60 	 0.891216 	 12 	 111.359001 	 61 	 2
instancesConflicts/BPPC_1_5_6.txt 	 48 	 66 	 0.839752 	 18 	 172.080002 	 67 	 2
instancesConflicts/BPPC_1_5_7.txt 	 48 	 66 	 0.830470 	 15 	 149.753006 	 67 	 0
instancesConflicts/BPPC_1_5_8.txt 	 49 	 72 	 0.835283 	 16 	 184.078003 	 73 	 6
instancesConflicts/BPPC_1_5_9.txt 	 50 	 67 	 0.879955 	 20 	 193.240005 	 69 	 0
instancesConflicts/BPPC_1_5_10.txt 	 46 	 67 	 0.804991 	 11 	 120.488998 	 68 	 4
instancesConflicts/BPPC_1_6_1.txt 	 48 	 77 	 0.844391 	 11 	 150.033997 	 77 	 22
