CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 26 	 151198.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 26 	 133348.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 26 	 133646.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 26 	 152158.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 26 	 149850.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 26 	 139078.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 27 	 149913.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 26 	 144012.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 30 	 176282.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 27 	 161137.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 26 	 155821.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 26 	 134887.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 26 	 146612.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 26 	 152045.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 26 	 152685.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 26 	 138626.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 27 	 152998.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 27 	 152887.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 30 	 186252.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 27 	 161879.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.968774 	 27 	 161891.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 26 	 153432.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970311 	 28 	 148281.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 26 	 154485.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 26 	 162220.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 26 	 145832.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 29 	 153723.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985563 	 35 	 183164.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994167 	 34 	 208860.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991420 	 35 	 195561.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967217 	 31 	 187251.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 49 	 0.963217 	 39 	 237000.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 48 	 0.919177 	 38 	 212568.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982740 	 35 	 198563.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 28 	 174973.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.978987 	 38 	 204072.000000
instancesConflicts/BPPC_1_3_7.txt 	 48 	 48 	 0.983058 	 48 	 247751.000000
instancesConflicts/BPPC_1_3_8.txt 	 49 	 51 	 0.937249 	 58 	 324615.000000
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957363 	 30 	 190360.000000
instancesConflicts/BPPC_1_3_10.txt 	 46 	 47 	 0.951994 	 39 	 223613.000000
instancesConflicts/BPPC_1_4_1.txt 	 48 	 50 	 0.924404 	 73 	 447161.000000
instancesConflicts/BPPC_1_4_2.txt 	 49 	 56 	 0.856957 	 34 	 239979.000000
