CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 Gen 	 Time
N1c2w2_t.txt 	 25 	 26 	 14 	 0.031000
N1c2w4_a.txt 	 29 	 29 	 0 	 0.000000
N1c2w4_b.txt 	 31 	 32 	 4 	 0.016000
N1c2w4_c.txt 	 30 	 30 	 0 	 0.000000
N1c2w4_d.txt 	 27 	 28 	 4 	 0.016000
N1c2w4_e.txt 	 30 	 30 	 1 	 0.000000
N1c2w4_f.txt 	 32 	 32 	 0 	 0.000000
N1c2w4_g.txt 	 29 	 30 	 5 	 0.016000
N1c2w4_h.txt 	 30 	 30 	 0 	 0.000000
N1c2w4_i.txt 	 35 	 35 	 0 	 0.000000
N1c2w4_j.txt 	 30 	 30 	 0 	 0.000000
N1c2w4_k.txt 	 32 	 32 	 0 	 0.000000
N1c2w4_l.txt 	 30 	 31 	 7 	 0.016000
N1c2w4_m.txt 	 31 	 31 	 0 	 0.000000
N1c2w4_n.txt 	 32 	 32 	 0 	 0.000000
N1c2w4_o.txt 	 30 	 30 	 0 	 0.000000
N1c2w4_p.txt 	 28 	 28 	 0 	 0.000000
N1c2w4_q.txt 	 33 	 33 	 0 	 0.000000
N1c2w4_r.txt 	 35 	 35 	 0 	 0.000000
N1c2w4_s.txt 	 38 	 38 	 0 	 0.000000
N1c2w4_t.txt 	 28 	 29 	 13 	 0.032000
N1c3w1_a.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_b.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_c.txt 	 17 	 17 	 1 	 0.000000
N1c3w1_d.txt 	 19 	 19 	 0 	 0.000000
N1c3w1_e.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_f.txt 	 20 	 20 	 0 	 0.000000
N1c3w1_g.txt 	 15 	 15 	 0 	 0.000000
N1c3w1_h.txt 	 19 	 19 	 0 	 0.000000
N1c3w1_i.txt 	 17 	 17 	 0 	 0.000000
N1c3w1_j.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_k.txt 	 17 	 17 	 0 	 0.000000
N1c3w1_l.txt 	 17 	 17 	 0 	 0.000000
N1c3w1_m.txt 	 17 	 17 	 0 	 0.000000
N1c3w1_n.txt 	 20 	 20 	 0 	 0.000000
N1c3w1_o.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_p.txt 	 19 	 19 	 0 	 0.000000
N1c3w1_q.txt 	 20 	 20 	 0 	 0.000000
N1c3w1_r.txt 	 20 	 21 	 14 	 0.031000
N1c3w1_s.txt 	 16 	 16 	 0 	 0.000000
N1c3w1_t.txt 	 18 	 18 	 0 	 0.000000
N1c3w2_a.txt 	 19 	 19 	 0 	 0.000000
N1c3w2_b.txt 	 20 	 20 	 0 	 0.000000
N1c3w2_c.txt 	 22 	 22 	 0 	 0.000000
N1c3w2_d.txt 	 20 	 20 	 0 	 0.000000
N1c3w2_e.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_f.txt 	 22 	 23 	 29 	 0.047000
N1c3w2_g.txt 	 22 	 23 	 11 	 0.031000
N1c3w2_h.txt 	 22 	 23 	 27 	 0.062000
N1c3w2_i.txt 	 19 	 19 	 0 	 0.000000
N1c3w2_j.txt 	 21 	 22 	 10 	 0.016000
N1c3w2_k.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_l.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_m.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_n.txt 	 22 	 22 	 0 	 0.000000
N1c3w2_o.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_p.txt 	 18 	 18 	 0 	 0.000000
N1c3w2_q.txt 	 19 	 19 	 0 	 0.000000
N1c3w2_r.txt 	 19 	 19 	 0 	 0.016000
N1c3w2_s.txt 	 21 	 21 	 0 	 0.000000
N1c3w2_t.txt 	 21 	 22 	 20 	 0.047000
N1c3w4_a.txt 	 21 	 21 	 0 	 0.000000
N1c3w4_b.txt 	 22 	 22 	 0 	 0.000000
N1c3w4_c.txt 	 24 	 24 	 0 	 0.000000
N1c3w4_d.txt 	 21 	 21 	 3 	 0.000000
N1c3w4_e.txt 	 22 	 23 	 54 	 0.110000
N1c3w4_f.txt 	 21 	 21 	 0 	 0.000000
N1c3w4_g.txt 	 23 	 23 	 0 	 0.000000
N1c3w4_h.txt 	 23 	 23 	 0 	 0.015000
N1c3w4_i.txt 	 22 	 23 	 10 	 0.032000
N1c3w4_j.txt 	 22 	 22 	 0 	 0.000000
N1c3w4_k.txt 	 23 	 24 	 13 	 0.031000
N1c3w4_l.txt 	 20 	 20 	 1 	 0.016000
N1c3w4_m.txt 	 21 	 21 	 0 	 0.000000
N1c3w4_n.txt 	 21 	 21 	 0 	 0.000000
N1c3w4_o.txt 	 21 	 22 	 17 	 0.031000
N1c3w4_p.txt 	 25 	 25 	 0 	 0.000000
N1c3w4_q.txt 	 25 	 25 	 0 	 0.000000
N1c3w4_r.txt 	 22 	 22 	 0 	 0.000000
N1c3w4_s.txt 	 22 	 22 	 0 	 0.000000
N1c3w4_t.txt 	 24 	 24 	 0 	 0.000000
N2c1w1_a.txt 	 47 	 48 	 15 	 0.047000
N2c1w1_b.txt 	 48 	 49 	 112 	 0.343000
N2c1w1_c.txt 	 46 	 46 	 0 	 0.000000
N2c1w1_d.txt 	 49 	 50 	 26 	 0.094000
N2c1w1_e.txt 	 57 	 58 	 17 	 0.047000
N2c1w1_f.txt 	 49 	 50 	 19 	 0.063000
N2c1w1_g.txt 	 59 	 60 	 23 	 0.078000
N2c1w1_h.txt 	 51 	 52 	 25 	 0.078000
N2c1w1_i.txt 	 62 	 62 	 0 	 0.000000
N2c1w1_j.txt 	 59 	 59 	 0 	 0.000000
N2c1w1_k.txt 	 55 	 55 	 0 	 0.000000
N2c1w1_l.txt 	 55 	 55 	 0 	 0.000000
N2c1w1_m.txt 	 46 	 46 	 0 	 0.000000
N2c1w1_n.txt 	 48 	 48 	 0 	 0.000000
N2c1w1_o.txt 	 47 	 48 	 19 	 0.062000
N2c1w1_p.txt 	 54 	 54 	 0 	 0.000000
N2c1w1_q.txt 	 46 	 46 	 0 	 0.000000
N2c1w1_r.txt 	 56 	 56 	 0 	 0.000000
N2c1w1_s.txt 	 45 	 45 	 0 	 0.000000
N2c1w1_t.txt 	 52 	 52 	 0 	 0.015000
N2c1w2_a.txt 	 63 	 64 	 13 	 0.047000
N2c1w2_b.txt 	 61 	 61 	 0 	 0.016000
N2c1w2_c.txt 	 68 	 68 	 0 	 0.000000
N2c1w2_d.txt 	 74 	 74 	 0 	 0.000000
N2c1w2_e.txt 	 65 	 65 	 0 	 0.000000
N2c1w2_f.txt 	 64 	 65 	 15 	 0.062000
N2c1w2_g.txt 	 73 	 73 	 0 	 0.000000
N2c1w2_h.txt 	 70 	 70 	 0 	 0.000000
N2c1w2_i.txt 	 67 	 67 	 0 	 0.000000
N2c1w2_j.txt 	 67 	 67 	 0 	 0.000000
N2c1w2_k.txt 	 72 	 72 	 0 	 0.000000
N2c1w2_l.txt 	 61 	 62 	 17 	 0.063000
N2c1w2_m.txt 	 65 	 65 	 0 	 0.000000
N2c1w2_n.txt 	 63 	 64 	 11 	 0.031000
N2c1w2_o.txt 	 64 	 64 	 0 	 0.000000
N2c1w2_p.txt 	 68 	 68 	 0 	 0.000000
N2c1w2_q.txt 	 65 	 65 	 0 	 0.000000
N2c1w2_r.txt 	 67 	 67 	 0 	 0.000000
N2c1w2_s.txt 	 66 	 66 	 0 	 0.000000
N2c1w2_t.txt 	 66 	 66 	 0 	 0.000000
N2c1w4_a.txt 	 72 	 73 	 7 	 0.031000
N2c1w4_b.txt 	 70 	 71 	 8 	 0.031000
N2c1w4_c.txt 	 77 	 77 	 0 	 0.000000
N2c1w4_d.txt 	 82 	 82 	 0 	 0.000000
N2c1w4_e.txt 	 72 	 73 	 8 	 0.047000
N2c1w4_f.txt 	 77 	 77 	 0 	 0.000000
N2c1w4_g.txt 	 71 	 71 	 0 	 0.000000
N2c1w4_h.txt 	 75 	 75 	 0 	 0.000000
N2c1w4_i.txt 	 73 	 73 	 0 	 0.000000
N2c1w4_j.txt 	 74 	 74 	 0 	 0.000000
N2c1w4_k.txt 	 70 	 70 	 0 	 0.000000
N2c1w4_l.txt 	 74 	 75 	 2 	 0.015000
